,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.9843364089682234,0.00020228304163184808,3.996910994855643e-08,7.759089407324833e-12,1.4887122608210678e-15,2.8312741925269826e-19,5.34652639544746e-23,1.003637395104716e-26,1.8743546982980553e-30,3.48532185686055e-34,0.0,0.27464203901967515,5.64758161818923e-05,1.1162711362702541e-08,2.167461081798876e-12,4.1593281084366586e-16,7.911377681005872e-20,1.494136501933815e-23,2.805027044669762e-27,5.239976896952483e-31,0.0,0.015035351375329423,3.013662765623032e-06,5.896504863054605e-10,1.1375501255440026e-13,2.1725607718442693e-17,4.1167501400296655e-21,7.750376491666448e-25,1.4510902453046425e-28,2.704307359096595e-32,0.00015975562427815874,3.200909517655697e-08,6.261585805799341e-12,1.2078099709284145e-15,2.30649628372385e-19,4.37015602303214e-23,8.226836100282957e-27,1.5401975284734553e-30,2.8696749529468954e-34,5.324948192167312e-38,0.005838999493934607,1.1998805358328557e-06,2.370989873916788e-10,4.602972169021864e-14,8.83195121828947e-18,1.6797443229632664e-21,3.172094843226696e-25,5.954740629827372e-29,1.112110883763834e-32,2.067990243240645e-36,6.3731149517329885e-09,1.2590084929971217e-12,2.443794298585884e-16,4.6884529932221823e-20,8.916076285171168e-24,1.6836106118018393e-27,3.160299935328692e-31,5.901837683080996e-35,1.097195063268048e-38,2.0319112892030288e-42
2,2.0,0.9693272245231579,0.000776223207401575,6.096989674580031e-07,4.748206353267931e-10,3.6770858321294846e-13,2.83564905835822e-16,2.1794133819592744e-19,1.6703455425852582e-22,1.277098372455331e-25,9.751089675178846e-29,0.0,0.26020729122412334,0.00020850441151709707,1.6382684082397854e-07,1.2761256258406327e-10,9.884130573388457e-14,7.623317581653348e-17,5.859743552040118e-20,4.4914451301644095e-23,3.4369355535951224e-26,0.0,0.028547739592315803,2.2583105806177964e-05,1.765523081724937e-08,1.3709006324521813e-11,1.0593568024338953e-14,8.155487729421437e-18,6.259271335150384e-21,4.791448700813559e-24,3.662341156517897e-27,0.0003116302112105976,2.4642740517636033e-07,1.9261528280829606e-10,1.4954181125302954e-13,1.1554536018963198e-16,8.894521147274297e-20,6.825975991696808e-23,5.224930006305833e-26,3.9904069532708407e-29,3.043814034685582e-32,0.005683518767998798,4.5511146688555784e-06,3.5749742218690207e-09,2.784255789754856e-12,2.156261266095982e-15,1.6628965580637237e-18,1.2781015393015226e-21,9.795879507986302e-25,7.489823184249759e-28,5.718859940732934e-31,2.483457742632489e-08,1.9502875721221477e-11,1.5186696717651325e-14,1.1759886030943215e-17,9.06829196286967e-21,6.969334223594581e-24,5.341215067234294e-27,4.083594557736241e-30,3.115494221799064e-33,2.374230502518022e-36
3,3.0,0.9549361493840636,0.0016675062953272544,2.87492403334125e-06,4.9289749597913395e-09,8.419719864372282e-12,1.434341761357468e-14,2.4381470100866333e-17,4.136919512629646e-20,7.008359657556846e-23,1.187671176246844e-25,0.0,0.24663180698684314,0.0004309449598192762,7.43226648201249e-07,1.2745163250398566e-09,2.1774939937385018e-12,3.709953628605072e-15,6.307000919664973e-18,1.070238497892724e-20,1.8163133295466874e-23,0.0,0.040679011021209466,7.046708572052618e-05,1.2112390312037554e-07,2.072710646706361e-10,3.5357444370012866e-13,6.016778781236719e-16,1.0218371168807443e-18,1.7324744001904665e-21,2.9379988322223374e-24,0.0004561154786282745,7.89822411632257e-07,1.3573310980543e-09,2.3223867435964018e-12,3.961237013021308e-15,6.740262779350137e-18,1.1446249267359936e-20,1.94053451685704e-23,3.2850917613070664e-26,5.563512512121451e-29,0.005533306250998149,9.661903770597876e-06,1.665896722237785e-08,2.856278471320356e-11,4.8793251119486036e-14,8.312467958908114e-17,1.4130264447834293e-19,2.3976119483801155e-22,4.0618917709489324e-25,6.8836268372685475e-28,5.415496778292966e-08,9.334943243850328e-11,1.600270529620321e-13,2.7333847709753756e-16,4.656182918951884e-19,7.91437190983907e-22,1.3428149036852896e-24,2.274785183832025e-27,3.848331909024596e-30,6.513448343274215e-33
4,4.0,0.9411294265454554,0.0028288114552902244,8.422553908005431e-06,2.4974172376905343e-08,7.385307466428886e-11,2.1795879761211928e-13,6.422210095553159e-16,1.8897972548725453e-18,5.5545541778911414e-21,1.6357776573827497e-23,0.0,0.2338567520108399,0.0007033704749853752,2.094904888242617e-06,6.213056884034149e-09,1.8376092780384018e-11,5.4239460118785066e-14,1.598352202672942e-16,4.703742483342948e-19,1.3867240751429489e-21,0.0,0.0515569023989485,0.0001540544357189364,4.5767474206287683e-07,1.355219953515108e-09,4.003641628940797e-12,1.1806503592069254e-14,3.4765727886409655e-17,1.0224536987078265e-19,3.012635686459511e-22,0.0005936659915244026,1.7732478276153834e-06,5.267028681309622e-09,1.559405163733152e-11,4.6063707491846655e-14,1.3582764553061855e-16,3.9993300457315537e-19,1.1761233370355598e-21,3.4550616403392325e-24,1.017010585462171e-26,0.005388125238188961,1.619487990758653e-05,4.822189805825418e-08,1.4299276876943566e-10,4.228729637759203e-13,1.2480475286379286e-15,3.677514730658975e-18,1.0821729106192583e-20,3.1808331664675806e-23,9.367532015719231e-26,9.321896051199234e-08,2.7749810810590274e-10,8.227346121727214e-13,2.4327881226620776e-15,7.179346997807383e-18,2.115313348577419e-20,6.224268950973426e-23,1.8293956648743252e-25,5.371478629120613e-28,1.58040892595894e-30
5,5.0,0.9278756257843893,0.004218889836565,1.903884786356376e-05,8.563866879310529e-08,3.843960077379278e-10,1.7226734903121818e-12,7.710471282347314e-15,3.4475006028854667e-17,1.5400624894218523e-19,6.905149418852614e-22,0.0,0.2218279386689708,0.001009262722342133,4.5560341568775455e-06,2.0497921401358824e-08,9.202144653723396e-11,4.124482128142376e-13,1.846266167989758e-15,8.255777910093309e-18,3.704847032291985e-20,0.0,0.061296582083400566,0.00027740989840004094,1.2497439393478658e-06,5.615531866504229e-09,2.5186446690617064e-11,1.1280535026486573e-13,5.046525906381615e-16,2.255449026493999e-18,1.01169621386033e-20,0.0007247024503830804,3.2785847832887673e-06,1.4767251782410047e-08,6.634534503998532e-11,2.975372547973861e-13,1.3325012884588224e-15,5.9607343494200205e-18,2.6638748273759723e-20,1.189502602569398e-22,5.331357970988476e-25,0.005247752807742542,2.3859849765582688e-05,1.0768055551570771e-07,4.843834138109202e-10,2.1742866808945607e-12,9.744430594438187e-15,4.3616193539513275e-17,1.9502166077101273e-19,8.712187151955732e-22,3.906351129522541e-24,1.4101403689983382e-07,6.362419032249863e-10,2.861573338126213e-12,1.2843446348977499e-14,5.755473606004299e-17,2.5759601729375144e-19,1.1517173439883726e-21,5.1447651517809804e-24,2.296392777380961e-26,1.0288815758325576e-28
6,6.0,0.9151454509857603,0.005801771657536353,3.65535618765325e-05,2.29687410632783e-07,1.4407538088451622e-09,9.025705879953539e-12,5.648399138963936e-14,3.531812225335188e-16,2.2067405297265737e-18,1.386580307746265e-20,0.0,0.21049540589344634,0.0013353425805981744,8.415926801177561e-06,5.2893581683529985e-08,3.3183773272520845e-10,2.079090408825222e-12,1.3012611062741001e-14,8.137235457779587e-17,5.116656402895084e-19,0.0,0.07000200626079216,0.0004420999672322999,2.7815569414238936e-06,1.7463270417634054e-08,1.0947396084606852e-10,6.854768651685018e-13,4.288098859665389e-15,2.6803452771190528e-17,1.6847553601303236e-19,0.0008496146466639546,5.363818446946233e-06,3.374087596696975e-08,2.1180458140935978e-10,1.32762628922008e-12,8.312307358017934e-15,5.199518765145928e-17,3.2498465776800453e-19,2.0298609583309407e-21,1.2750470702058096e-23,0.005111978830672628,3.2407531576835626e-05,2.0419376108004648e-07,1.2831367982146884e-09,8.049044806073583e-12,5.042564802696818e-14,3.155797930514971e-16,1.9733004419554165e-18,1.2329837497367575e-20,7.747482016121723e-23,1.9662042319187866e-07,1.238558668848286e-09,7.781769267855619e-12,4.880893597978996e-14,3.0575014060996817e-16,1.913336858061986e-18,1.1963200626433461e-20,7.474584327847769e-23,4.667128573750954e-25,2.9307812886567212e-27
7,7.0,0.9029115659852698,0.007546082607776265,6.273339037041949e-05,5.203474554234666e-07,4.309736973721076e-09,3.565617617134685e-11,2.947418589727274e-13,2.4346440526014374e-15,2.0098370157570143e-17,1.6720449301441615e-19,0.0,0.19981304200342473,0.00167101265409725,1.3896232384617343e-05,1.1528829876967879e-07,9.550205600312516e-10,7.902288582740892e-12,6.53291140159873e-14,5.396853034462742e-16,4.492617715100682e-18,0.0,0.07776711438551638,0.0006478433298563014,5.379556637514706e-06,4.4589738811536516e-08,3.6912336857623975e-10,3.052691648910484e-12,2.5225991131248828e-14,2.0831551250908112e-16,1.7335637022958821e-18,0.0009687641232757438,8.067429852429822e-06,6.697721984043826e-08,5.550822820560079e-10,4.5946195198207e-12,3.7994873690155774e-14,3.1394972552029736e-16,2.592432394307678e-18,2.1394661694776287e-20,1.7794217034362145e-22,0.004980605064953525,4.162414218234156e-05,3.460591082824209e-07,2.8705705858524964e-09,2.3776316875588218e-11,1.9671818431536876e-13,1.6261672637560021e-15,1.3432931739163228e-17,1.1089367287536993e-19,9.225787886084829e-22,2.592021080416948e-07,2.1544480543862227e-09,1.78684081492207e-11,1.4798314474845013e-13,1.2242572830632311e-15,1.0119539522366123e-17,8.358695416979098e-20,6.900017373147191e-22,5.692839474576465e-24,4.733639967726547e-26
8,8.0,0.8911484369128516,0.009424453519519578,9.921200813645083e-05,1.0423740565216305e-06,1.0937886150572514e-08,1.1466620818544757e-10,1.2011934851928653e-12,1.2575370249389127e-14,1.315823923020259e-16,1.3907117619161445e-18,0.0,0.18973824557456695,0.0020078930420990874,2.1144076489335813e-05,2.2219870496790945e-07,2.3319619163967084e-09,2.4450043528851038e-11,2.5615565813098373e-13,2.68195755969378e-15,2.8361578222751236e-17,0.0,0.08467688467472848,0.0008930214589552421,9.391709243014259e-06,9.861552192807032e-08,1.034353892861932e-09,1.0839919983741935e-11,1.1352318275622039e-13,1.188205233076306e-15,1.2561632409934553e-17,0.0010824865731113356,1.1412051402687603e-05,1.1999481602395378e-07,1.2598108490594544e-09,1.3212503548118285e-11,1.3845427049776263e-13,1.4498893582543485e-15,1.5174553340513766e-17,1.5873862016371967e-19,1.6773487261512946e-21,0.0048534443255928315,5.1326713141091145e-05,5.403555681103164e-07,5.67757026258037e-09,5.957877323089422e-11,6.246111262575889e-13,6.543363448362155e-15,6.850478829516766e-17,7.168175706731484e-19,7.576309634456965e-21,3.2799881209515426e-07,3.452248095316372e-09,3.62674793186136e-11,3.8053697931168625e-13,3.989108641198616e-15,4.178638503270781e-17,4.374486333126969e-19,4.577103096113031e-21,4.786898162965457e-23,5.0571056251668285e-25
9,9.0,0.8798321892641062,0.011413009761799557,0.00014744706328263262,1.901634689768591e-06,2.4498332501092418e-08,3.1534720650280174e-10,4.056556127554691e-12,5.215429708445742e-14,6.702254016092089e-16,8.721438630930675e-18,0.0,0.18023162006991894,0.0023394345223069607,3.0233392542512933e-05,3.9000598003289364e-07,5.025170458049775e-09,6.469330910253801e-11,8.322899353996577e-13,1.0701566678134465e-14,1.3932484110753094e-16,0.0,0.09080826755376609,0.0011750777191726527,1.516825579402693e-05,1.9552608215168524e-07,2.517996589608336e-09,3.240288913827006e-11,4.167261738235775e-13,5.356701699082862e-15,6.972166656792872e-17,0.0011910940046123625,1.5407508892473686e-05,1.9884655837440407e-07,2.5628887641145534e-09,3.300170693384731e-11,4.246484743140146e-13,5.460933006576106e-15,7.019204071539651e-17,9.018235514040152e-19,1.1732805932044021e-20,0.0047303197233311885,6.135903305540365e-05,7.927620979779447e-07,1.0224866131222876e-08,1.3173055086088007e-10,1.6957243431120061e-12,2.1814121066375066e-14,2.8046749276495797e-16,3.60432674328739e-18,4.6903068127476666e-20,4.0231879892440046e-07,5.1967193387767365e-09,6.701578060324169e-11,8.632902113796077e-13,1.1111858730369128e-14,1.4293449033466117e-16,1.8376146335340858e-18,2.3614141653104062e-20,3.0332982035206626e-22,3.945604272985378e-24
